ID,n_points,yD_bary,yB_bary,chi2_red_bary,wrms_bary_kms,yD_halo,yB_halo,vinf_kms,rc_kpc,chi2_red_halo,wrms_halo_kms,wrms_improvement_kms
CamB,9,0.5199918202501708,0.0,5.618628698164288,3.352201872848439,4.057397907939966e-34,0.0,499.99999874447286,29.39072013953456,0.44927641154250425,0.8209230276425168,2.531278845205922
D512-2,4,1.9999999999793079,0.0,1.8370434856586328,5.068775586108411,1.2970817674545057,0.0,36.143496886680495,1.1262100720956578,0.14663468053614828,0.967189647396916,4.101585938711495
D564-8,6,1.9999999999999714,0.0,18.972117215960974,7.637125838593393,5.705020377591115e-13,0.0,32.528225479129425,1.1171622376860038,0.044173229259169555,0.2633499156923467,7.373775922901046
D631-7,16,1.9999999999998244,0.0,69.94670921724015,21.989795815301722,1.1886688799963577e-20,0.0,88.63571574132001,3.5974283511078053,0.36435338512847326,1.4999447225604605,20.48985109274126
DDO064,14,1.999999999998073,0.0,3.765731819310837,9.602329174673566,1.4642218499099212e-17,0.0,64.21663419864578,1.1165205611122675,0.35592558392141904,2.7807056745148073,6.821623500158758
DDO154,12,1.9999999999998734,0.0,5117.131069350785,21.080395942158408,0.06014450549541895,0.0,57.01447667457929,1.4354432278794984,2.19133787362017,1.3646519347301795,19.715744007428228
DDO161,31,1.9999999999999998,0.0,260.1348929636179,18.606193892513737,0.5239021417439775,0.0,78.83720348135547,4.469290175264542,0.34584216447107924,1.4319410510136494,17.17425284150009
DDO168,10,1.9999999999999998,0.0,83.39260838396241,14.965798787093842,3.776334212000633e-19,0.0,85.60940872211938,2.2414420793473644,4.210055904133325,3.171173063284554,11.794625723809288
DDO170,8,1.9999999999999998,0.0,378.8039931730932,19.974040618403738,1.631113090651487e-16,0.0,63.05923059725069,1.8382952182548202,1.525510308897563,1.4950389236223558,18.47900169478138
ESO079-G014,15,1.6959643143560927,0.0,9.101229520612106,14.172808252094645,0.4478564677178561,0.0,194.1356240588592,4.72136252060276,1.3663176785299151,6.314825268438485,7.857982983656161
ESO116-G012,15,1.9999999999991767,0.0,69.39068675831962,20.574030266397894,0.7089427001663006,0.0,124.39339312706775,2.5632705419397857,1.0202120919947342,2.8263865465369946,17.7476437198609
