r_kpc,v_obs_kms,v_err_kms,v_model_exact_btfr_kms,v_model_best_relaxed_kms
5.78,243.8,2.6,251.63533312305717,264.4248507932442
7.22,259.8,2.3,257.79534944474574,264.4041365247461
8.67,256.8,2.0,260.2036473053279,261.88580649829447
10.11,254.9,7.5,260.04712723941475,257.729564838507
11.56,263.4,2.3,258.2991661958311,252.58305392894258
13.0,265.9,3.5,255.67647470516118,247.03858551882428
