ID,n_points,wrms_bary_kms,chi2_red_bary,wrms_free_kms,chi2_red_free,vinf_free_kms,rc_free_kpc,logMb,vinf_btfr_kms,rc_btfr_kpc,wrms_btfr_kms,chi2_red_btfr,vinf_freepred_kms,rc_freepred_kpc,wrms_freepred_kms,chi2_red_freepred
CamB,9,3.352201872848439,5.618628698164288,0.8209230276425168,0.4492764115425042,499.99999874447286,29.39072013953456,7.73,32.484878447056296,1.6665555690025997,1.4133937678388122,1.1415325388374824,34.798444450047946,1.8136551172732978,1.3429512712812384,1.030581781163368
D512-2,4,5.068775586108411,1.8370434856586328,0.967189647396916,0.1466346805361482,36.143496886680495,1.1262100720956578,8.43,48.605033416379165,3.5182201420739467,1.2314214928628195,0.1178569080211668,51.234184829016016,3.773740885254659,1.2771143141234451,0.12416417208432329
D564-8,6,7.637125838593393,18.972117215960974,0.2633499156923467,0.0441732292591695,32.528225479129425,1.1171622376860038,7.74,32.672415696934955,1.1267402925057954,0.26790680851672816,0.0334555082406775,34.99128009455529,1.424741133710521,0.39819690429593835,0.07154583145631709
D631-7,16,21.989795815301722,69.94670921724015,1.4999447225604603,0.3643533851284732,88.63571574132001,3.5974283511078053,8.68,56.128216954463774,1.5149393200590222,5.598149704675534,4.892848954427301,58.82471485587539,1.680792902298325,4.89342257894452,3.8178134180121575
DDO064,14,9.602329174673566,3.765731819310837,2.7807056745148078,0.355925583921419,64.21663419864578,1.1165205611122675,8.56,52.38189986881993,1.1098858567859513,2.78590985741806,0.4116921604904427,55.050317828009184,1.1085808383707108,2.7125183611617416,0.3802786947551315
DDO154,12,21.080395942158408,5117.131069350785,1.3646519347301795,2.19133787362017,57.01447667457929,1.4354432278794984,8.59,53.29435936387067,1.1592136485530709,1.2840716554426022,5.422285428338791,55.97058300675056,1.3535895934969886,1.2934509628019661,2.1628480999478406
DDO161,31,18.606193892513737,260.1348929636179,1.4319410510136494,0.3458421644710792,78.83720348135547,4.469290175264542,9.32,81.12995704703783,4.878540263698879,1.3276132750768488,0.36486547966804533,83.78375695015585,5.345967863263448,1.2967684593334279,0.4650369181186858
DDO168,10,14.965798787093842,83.39260838396241,3.171173063284554,4.210055904133325,85.60940872211938,2.2414420793473644,8.81,60.489674292320345,1.2940532489757286,3.719007627175215,8.129631161569034,63.20622177878315,1.346411063677819,3.402122776120751,6.957190792310764
DDO170,8,19.974040618403738,378.8039931730932,1.4950389236223558,1.525510308897563,63.05923059725069,1.83829521825482,9.1,71.47945722348125,4.4164469683951975,2.143007541898715,2.9568827827989668,74.19247015600357,4.809802311612676,2.267209489265058,3.8620225729627404
ESO079-G014,15,14.172808252094645,9.101229520612106,6.314825268438485,1.3663176785299151,194.1356240588592,4.72136252060276,10.48,158.1908086267689,5.141620012774582,7.6144158529034724,2.236763012429165,159.0595797508621,5.13335330527706,7.5579381036592395,2.1949346579984823
ESO116-G012,15,20.574030266397894,69.39068675831962,2.8263865465369946,1.0202120919947342,124.39339312706775,2.5632705419397857,9.55,92.61498187020153,1.6970401510551207,8.324064454904848,10.152446380135432,95.1392734838376,1.702269057530334,7.729420497591748,8.77205351170604
ESO444-G084,7,28.91918721768702,251.43742771254827,1.4600079833376325,0.5820963829412671,77.27141688296769,1.1681702521862003,8.33,45.88611043897352,0.2568973476683148,9.333892889987277,30.61264372708991,48.47968961749851,0.2962691824941552,8.201243027982029,23.127802172678493
ESO563-G021,30,45.987365676612185,37.10565538226635,18.176016338436384,11.48264362794687,312.79517658902057,4.9775668187835285,11.27,249.27644706870757,5.6815273387752825,22.616016971127348,14.074773121399343,246.12732444465473,5.713131528351844,23.017734134127213,14.357986261113684
F561-1,6,3.9556091665188924,0.6301907588181436,3.018791363147479,0.3523780325703137,48.66006209477686,1.036445167048492,,,,,,,,,
F563-1,17,49.094169460418414,21.057082900702618,7.016085093855374,0.5876722426138521,116.74318514485748,2.017364282404204,,,,,,,,,
F563-V1,6,1.893527088350907,0.17210135204729587,1.8428757057192435,0.271695269338416,6.73203256670555,0.1986514889120818,,,,,,,,,
F563-V2,10,38.878108766461835,9.893301346809277,4.686393548304569,0.1894857553281066,118.87200132851068,1.8896570538036976,,,,,,,,,
F565-V2,7,32.41778702256819,32.49862484426712,1.6011675001328374,0.0635260866988585,105.3733867207456,3.1556713874942197,9.08,70.66123864267068,1.3808820472802856,8.62533510598084,1.7529102177942586,73.37697954126092,1.5540092187847707,7.84484689260351,1.4018974596676603
F567-2,5,3.7311185342725923,0.29887355638719965,3.19028130621156,0.447462557564542,38.254489440669296,2.535038351562092,,,,,,,,,
F568-1,12,44.15696509273254,16.975374054614377,3.554124594626713,0.1266255448872285,153.24744362442354,2.1872813843450643,,,,,,,,,
F568-3,18,19.032058050354042,5.1139371095062165,6.2441521294112645,1.0282773435165509,134.07404800088383,3.6513055938302905,9.93,115.26069820640765,3.8165695386097505,6.28960053662094,1.2173180458721018,117.37073674071817,3.7921224082211724,6.178205414277859,1.1706813703592485
F568-V1,15,39.946880236174664,17.040040476510093,4.365561152129416,0.097228393750436,110.58849516238458,1.739427478831643,9.72,102.13656458428521,1.3509802223935374,5.089285014008328,0.14146682701657534,104.51047718096203,1.4596526153196308,4.698012112304705,0.11581657378572265
F571-8,13,47.76244924793829,131.73052685973178,3.2020572210766924,0.4560838028377635,176.17445941498704,3.4837500469422813,9.87,111.34769881527968,0.9483192931763447,19.594903485724927,24.49497686923723,113.54286034584368,0.9459527864302903,18.616471300376983,22.079244632546175
F571-V1,7,24.59264325761217,19.035733926745362,1.8643570390385908,0.0868838369581548,94.00897810908648,3.1748846222276184,9.41,85.44393599990431,2.825325918453484,3.5391243742048233,0.21048588060805606,88.0561778595813,2.8695201747135264,2.912480255616157,0.13841514894651535
F574-1,14,19.161746388406055,18.870679580602697,2.109572078425145,0.2460099973667835,110.0002406587304,1.719685277952944,9.9,113.28730515431083,1.886150329396956,2.530503680011351,0.3193523273701913,115.44093368662676,1.999488357655528,3.0512249252341475,0.4733442059014437
F574-2,5,2.6887153251486184,0.09281477860208737,1.3556737118053237,0.0495933292971884,38.41652389353431,3.582699188956981,,,,,,,,,
F579-V1,14,15.442862321642833,2.591329225308987,1.6964646308873557,0.0370008336509835,115.25385916604066,0.6430108269743022,,,,,,,,,
F583-1,25,25.797683608920508,21.623029260687662,3.5380374293805548,0.3723809388656278,97.09472996859284,2.657580608933797,9.52,91.02930900350202,2.606433926007151,3.580013234630106,0.4148283761048401,93.57499889860817,2.6216960912859313,3.478984708938222,0.376361045262754
F583-4,12,6.657951351534817,2.221086582763004,1.7075298242330854,0.164327520787412,499.9999999999968,47.00492579604047,9.23,77.03378658096432,5.433250797815201,2.1599474339632856,0.22991609765330656,79.71863075725106,5.734270291692235,2.122269523086,0.2226818258480628
IC2574,34,11.904163489107853,62.30981219065118,2.2551148323955554,2.3479226916720446,146.00981618549477,12.548840211015897,9.28,79.2832137609115,4.928874452217234,2.771635278184343,3.197669198998302,81.95205168278042,5.2907463720792025,2.651635518996636,3.032544895721533
IC4202,32,24.105575557417488,32.361881518281415,14.332355780742322,8.20896936152723,267.7711561560656,2.0151397067164383,11.03,217.1107092304584,1.4866691674716346,13.776714976873054,10.587473004230686,215.5558584113734,1.4703502534278006,13.840978291182022,10.7576065062547
KK98-251,15,5.3456010574110815,7.654138570980663,0.9762365561941592,0.2978243167655724,51.65094240284115,1.9576045096694936,8.29,44.84161504585387,1.750721585400574,1.1088563214718705,0.35468144471196017,47.41981230875086,1.744156294802886,1.0298920249158525,0.3059646873995985
NGC0024,29,15.587704369561905,23.390253317403456,3.1747895611015853,0.3301705160515474,103.78145616367364,0.6467743266690821,9.45,87.43418094158729,0.9695264359513416,5.42589811111831,1.2130722136140037,90.02431607575028,0.9107129457836995,4.84023464336161,0.9610665115649765
