xi,gamma,g_couple,seed,phi_mean_final,E_mean_final,phi_var_final,roughness_final,coherence_final,status_final
0.0,0.02,0.0,0,-0.9838071153788793,0.9866610041566043,0.01266736315218334,0.3416205256156196,0.0,PARTIAL_ALIGNMENT
0.0,0.02,0.0,1,-0.025455289632358546,-0.0233221393791542,0.9147694947420362,0.41192314661994694,0.0,DOMAIN_COARSENING
0.0,0.02,0.0,2,-0.21326176303318184,0.9792647674341863,0.8576735696075048,0.37842338491399974,0.0,DOMAIN_COARSENING
0.0,0.02,0.0,3,-0.981146081985004,0.9757458592942148,0.013565091600520794,0.35006989844096104,0.0,PARTIAL_ALIGNMENT
0.0,0.02,0.0,4,0.9812193413414882,-0.9831835493254928,0.013172045474073215,0.3635963307149726,0.7599300767958126,PARTIAL_ALIGNMENT
0.005,0.02,0.0,0,0.9869606041349015,0.985254617698339,0.012498163763664782,0.3166531050197409,0.7892079835517841,PARTIAL_ALIGNMENT
0.005,0.02,0.0,1,0.9885180882392733,0.9819326217259714,0.014027633016913947,0.31440483574612704,0.7904291962047572,PARTIAL_ALIGNMENT
0.005,0.02,0.0,2,0.9766513064132438,0.9679089745918807,0.014257503612081437,0.3248108912401577,0.7753632182136051,PARTIAL_ALIGNMENT
0.005,0.02,0.0,3,0.977940176472708,0.9802033641103667,0.015189006893128,0.3030038592334633,0.7870225642275241,PARTIAL_ALIGNMENT
0.005,0.02,0.0,4,0.9855694634850368,0.9905167938813102,0.014907821769442501,0.3183427244979312,0.7853137385392809,PARTIAL_ALIGNMENT
0.01,0.02,0.0,0,0.9891645545854697,0.9902204937114426,0.014879686003852642,0.276156899968398,0.8106824441770261,PARTIAL_ALIGNMENT
0.01,0.02,0.0,1,0.990222996927961,0.9801494121644034,0.015044644184092345,0.2939107516905959,0.801868814764987,PARTIAL_ALIGNMENT
0.01,0.02,0.0,2,0.9857149724324231,0.9812355820403339,0.01518755128894165,0.2855707425643331,0.802554039653065,PARTIAL_ALIGNMENT
0.01,0.02,0.0,3,0.9969981858192245,0.9660024437730366,0.01490199620931532,0.28372429964936074,0.8129726116813988,PARTIAL_ALIGNMENT
0.01,0.02,0.0,4,0.969705377234515,0.9879001919701058,0.015549363047757373,0.2892568038418369,0.787296605236498,PARTIAL_ALIGNMENT
0.02,0.02,0.0,0,0.9850342248436594,0.9788051123091707,0.015732782518141038,0.27237433313416526,0.8086455724613916,PARTIAL_ALIGNMENT
0.02,0.02,0.0,1,1.006087080402566,0.9892849860343973,0.015582386186011562,0.2761290718512104,0.8239875939111202,PARTIAL_ALIGNMENT
0.02,0.02,0.0,2,0.9852724273768824,0.9773826822969758,0.016496361067889286,0.27659995903524537,0.8059501123076407,PARTIAL_ALIGNMENT
0.02,0.02,0.0,3,0.9744311142910203,1.0046321370116442,0.015444734289060584,0.2734524164060364,0.7995967059241065,PARTIAL_ALIGNMENT
0.02,0.02,0.0,4,0.979853540181115,0.977595434956602,0.016706524181100788,0.2830162287583628,0.7979285855723773,PARTIAL_ALIGNMENT
0.04,0.02,0.0,0,0.9906868463022378,0.99263774533162,0.01734757150141613,0.2799279889972413,0.8078951262745547,PARTIAL_ALIGNMENT
0.04,0.02,0.0,1,0.9882209088061746,0.9980743993136266,0.016649288275695496,0.27335275999594894,0.809989919929588,PARTIAL_ALIGNMENT
0.04,0.02,0.0,2,0.9861673048193131,0.9787178459759234,0.015352006017883191,0.27392642976887593,0.8090465007393511,PARTIAL_ALIGNMENT
0.04,0.02,0.0,3,0.9830560030344887,0.9780790236668968,0.0169466103873602,0.27816306160378323,0.802937950309015,PARTIAL_ALIGNMENT
0.04,0.02,0.0,4,1.0056820909053343,0.995641373284322,0.015264421255231241,0.2727396595956799,0.8257816783956763,PARTIAL_ALIGNMENT
0.0,0.05,0.0,0,-0.9924463207404803,0.9979342773921056,0.0010095132815609671,0.1014689717755699,0.0,PARTIAL_ALIGNMENT
0.0,0.05,0.0,1,-0.08428319006428593,-0.06972833939630718,0.9023733729575849,0.19775709312479106,0.0,DOMAIN_COARSENING
0.0,0.05,0.0,2,-0.07891592531602387,0.9970065769895571,0.9052379824866559,0.14861649447016095,0.0,DOMAIN_COARSENING
0.0,0.05,0.0,3,-0.9967352511045118,0.9955620336437974,0.001576568025468533,0.1102102834664238,0.0,PARTIAL_ALIGNMENT
0.0,0.05,0.0,4,0.9944457750713744,-0.9974035202631786,0.0014767650317639362,0.1211130379125003,0.9159545831084888,JHANA_ATTRACTOR_REACHED
0.005,0.05,0.0,0,1.0001248044619686,0.9999316370294826,0.0009661029439079667,0.0838955872062965,0.9448097469460253,JHANA_ATTRACTOR_REACHED
0.005,0.05,0.0,1,0.9962810096640315,0.9990857409931815,0.0009351789001931889,0.09001037272646663,0.9373786054654585,JHANA_ATTRACTOR_REACHED
0.005,0.05,0.0,2,1.0039567138050765,0.9938637604415402,0.0009622363601887067,0.08689768397716037,0.9465370933563175,JHANA_ATTRACTOR_REACHED
0.005,0.05,0.0,3,1.0006938816236506,0.998726370268475,0.0008749737659577916,0.07777847900510781,0.9492969204670503,JHANA_ATTRACTOR_REACHED
0.005,0.05,0.0,4,1.0009330469737692,0.999080257148501,0.0009440891137418177,0.09150082014609276,0.9408119274589672,JHANA_ATTRACTOR_REACHED
0.01,0.05,0.0,0,1.001158462024074,1.00060917483329,0.0009080075411434719,0.06397412876353781,0.9584866590230431,JHANA_ATTRACTOR_REACHED
0.01,0.05,0.0,1,0.9985452530362892,1.003326238064206,0.0009727286612304078,0.0734800150048576,0.9498841858349534,JHANA_ATTRACTOR_REACHED
0.01,0.05,0.0,2,1.008116485998288,1.002393397397032,0.0010184094233461035,0.06806273027948546,0.962414701597416,JHANA_ATTRACTOR_REACHED
0.01,0.05,0.0,3,1.0052728833829008,1.0018147348457416,0.000903328536602511,0.0667991875650577,0.9606193081709491,JHANA_ATTRACTOR_REACHED
0.01,0.05,0.0,4,1.002306362882492,0.9978992809802845,0.0009140017535130872,0.06632681803802623,0.9580759991193278,JHANA_ATTRACTOR_REACHED
0.02,0.05,0.0,0,1.0105958750548543,1.0009104331423349,0.0010316012679900078,0.057767443630535015,0.971413454860817,JHANA_ATTRACTOR_REACHED
0.02,0.05,0.0,1,1.0125346572527252,1.0081398538306863,0.0010184031329897756,0.05997447635016134,0.9718589107875124,JHANA_ATTRACTOR_REACHED
0.02,0.05,0.0,2,1.0084130563601639,1.001522059076548,0.0009275555281373414,0.05798428877088138,0.9692759939249309,JHANA_ATTRACTOR_REACHED
0.02,0.05,0.0,3,1.0110543638635303,1.0064797093212343,0.0008899190104125639,0.056223592209842445,0.9729927939296215,JHANA_ATTRACTOR_REACHED
0.02,0.05,0.0,4,1.0115553059862505,1.0024463740095193,0.0009556487959751232,0.05837064258597235,0.9720185822234779,JHANA_ATTRACTOR_REACHED
0.04,0.05,0.0,0,1.0096785262760455,1.0146263426140554,0.0009488738871707352,0.053935071329461785,0.9730949675480094,JHANA_ATTRACTOR_REACHED
0.04,0.05,0.0,1,1.0185302342812337,1.0115389063598559,0.001035827111986192,0.054287474683916384,0.9813100291524623,JHANA_ATTRACTOR_REACHED
0.04,0.05,0.0,2,1.0163102532217847,1.0120732421355818,0.0009369846949582656,0.054567580536931684,0.9790851126900945,JHANA_ATTRACTOR_REACHED
0.04,0.05,0.0,3,1.0156085328812021,1.0073959569349118,0.0010405523418762117,0.05406361375258917,0.9786365134634368,JHANA_ATTRACTOR_REACHED
0.04,0.05,0.0,4,1.0113771839463177,1.0104006286723977,0.0009464595201726909,0.05263665952883242,0.9755785343966772,JHANA_ATTRACTOR_REACHED
0.0,0.1,0.0,0,-0.9996397906710431,1.0002910840748096,3.398740999841417e-05,0.016939824337634534,0.0,PARTIAL_ALIGNMENT
0.0,0.1,0.0,1,-0.12285647550629908,-0.04751114967097264,0.8996442062816092,0.13402430076565397,0.0,DOMAIN_COARSENING
0.0,0.1,0.0,2,-0.12424998582504759,0.9992084173811188,0.9000936990811877,0.07643448004969321,0.0,DOMAIN_COARSENING
0.0,0.1,0.0,3,-1.0004069684465073,1.000226053039975,0.0005044716477530475,0.027574399753625967,0.0,PARTIAL_ALIGNMENT
0.0,0.1,0.0,4,0.9999241142304878,-0.9988980639995896,0.0002432798833702077,0.03452919308961627,0.976931608825114,JHANA_ATTRACTOR_REACHED
0.005,0.1,0.0,0,1.0023124978907607,1.0011921065944276,2.303331531241909e-05,0.011620433218324861,0.9945547189713188,JHANA_ATTRACTOR_REACHED
0.005,0.1,0.0,1,1.0032169479937643,1.0016368988229192,1.4356109960399064e-05,0.014772296967695667,0.9933712980165166,JHANA_ATTRACTOR_REACHED
0.005,0.1,0.0,2,1.0023988832311839,1.0014101265841377,2.2583951342748797e-05,0.012580698513148678,0.9940043403464927,JHANA_ATTRACTOR_REACHED
0.005,0.1,0.0,3,1.0028741631210578,1.0015373394895348,1.0364630822263711e-05,0.010156179783219641,0.9960965278898926,JHANA_ATTRACTOR_REACHED
0.005,0.1,0.0,4,1.0028418930888676,1.0018272137459974,1.4936767580194786e-05,0.016163515219200092,0.9920787884254079,JHANA_ATTRACTOR_REACHED
0.01,0.1,0.0,0,1.0055796701460236,1.0027122559210992,8.212016579859774e-06,0.006343271665148217,1.0,JHANA_ATTRACTOR_REACHED
0.01,0.1,0.0,1,1.0053058266996735,1.002871281103877,8.867536892138236e-06,0.008637929840541222,0.99952442608397,JHANA_ATTRACTOR_REACHED
0.01,0.1,0.0,2,1.0058520705439142,1.002610142260814,8.606955231126822e-06,0.007080604362872531,1.0,JHANA_ATTRACTOR_REACHED
0.01,0.1,0.0,3,1.0058803102122273,1.0026059991743075,8.502892019117762e-06,0.006908156866497966,1.0,JHANA_ATTRACTOR_REACHED
0.01,0.1,0.0,4,1.005299356636531,1.0029562417505336,8.781652191058577e-06,0.006766597301287737,1.0,JHANA_ATTRACTOR_REACHED
0.02,0.1,0.0,0,1.009528355776758,1.0060435769181724,7.678430198088216e-06,0.004660444857999905,1.0,JHANA_ATTRACTOR_REACHED
0.02,0.1,0.0,1,1.0096391001317406,1.0051359969617006,9.202404200377729e-06,0.0051390656621026504,1.0,JHANA_ATTRACTOR_REACHED
0.02,0.1,0.0,2,1.0096646128163522,1.0054929347925947,8.542763598701228e-06,0.004967660095565091,1.0,JHANA_ATTRACTOR_REACHED
0.02,0.1,0.0,3,1.0095216162935208,1.0055313088316113,7.701476140693553e-06,0.004656944793375139,1.0,JHANA_ATTRACTOR_REACHED
0.02,0.1,0.0,4,1.0099197372487247,1.0050338636362683,7.408848175902823e-06,0.00505235706785526,1.0,JHANA_ATTRACTOR_REACHED
0.04,0.1,0.0,0,1.0190547693517655,1.0099256509847783,8.11679010289989e-06,0.0038992582520744456,1.0,JHANA_ATTRACTOR_REACHED
0.04,0.1,0.0,1,1.0189770614902545,1.0104283824868179,8.632494537625164e-06,0.004106623150881342,1.0,JHANA_ATTRACTOR_REACHED
0.04,0.1,0.0,2,1.0189193028634058,1.0097059635605836,8.217155910559344e-06,0.004116948505156955,1.0,JHANA_ATTRACTOR_REACHED
0.04,0.1,0.0,3,1.0188818982185506,1.009522117006985,7.85107924086725e-06,0.0038557776101340365,1.0,JHANA_ATTRACTOR_REACHED
