xi,gamma,g_couple,seed,phi_mean_final,E_mean_final,phi_var_final,roughness_final,coherence_final,status_final
0.0,0.05,0.18,0,-0.14230002543256823,-0.1138372265390655,0.7643364956896707,0.821198280112026,0.0,DOMAIN_COARSENING
0.0,0.05,0.18,1,-0.23425925853350818,-0.028812141005319314,0.5353804975423607,0.7852216815870037,0.0,DOMAIN_COARSENING
0.01,0.05,0.18,0,0.5477032192545506,0.5112274422989372,0.5283710996635489,0.7281657767063371,0.19872433611691948,DOMAIN_COARSENING
0.01,0.05,0.18,1,0.7794770720582176,0.9116143165981041,0.23321948470586593,0.6218563262071529,0.4078228567820136,DOMAIN_COARSENING
0.02,0.05,0.18,0,0.8152523868050272,0.7101609426975388,0.3289167124591926,0.6908867146005191,0.3701801899051376,DOMAIN_COARSENING
0.02,0.05,0.18,1,0.808105079869618,0.8448248407309014,0.2505825392498586,0.6171826590015077,0.41681999175750584,DOMAIN_COARSENING
0.0,0.15,0.18,0,-0.15893939181949507,-0.13378017019951116,0.7186926079485183,0.6895408612500332,0.0,DOMAIN_COARSENING
0.0,0.15,0.18,1,-0.2754547131464346,-0.0015569199081823526,0.5424957729331842,0.6795819794706861,0.0,DOMAIN_COARSENING
0.01,0.15,0.18,0,0.6116070909117788,0.599944291487259,0.48263963448761316,0.5447831050933232,0.2625027863930891,DOMAIN_COARSENING
0.01,0.15,0.18,1,0.836312101874847,0.9240208959404828,0.14743492196602787,0.4714656413235796,0.5270294985756528,PARTIAL_ALIGNMENT
0.02,0.15,0.18,0,0.9646534463543852,0.9170669170662713,0.18135285408714422,0.423478260358087,0.606738092622301,PARTIAL_ALIGNMENT
0.02,0.15,0.18,1,1.0231423707347962,1.0308652368690572,0.07051303859548584,0.3328803763773269,0.7637195469142112,PARTIAL_ALIGNMENT
0.0,0.2,0.18,0,-0.16270544134735487,-0.1361071294711742,0.7048032047330308,0.6552959559316385,0.0,DOMAIN_COARSENING
0.0,0.2,0.18,1,-0.2879860628830412,0.008332070301144315,0.5496247723149208,0.6518312313047346,0.0,DOMAIN_COARSENING
0.01,0.2,0.18,0,0.6206756153391267,0.6159539248134451,0.4670660660183371,0.4884429218093369,0.280932353744323,DOMAIN_COARSENING
0.01,0.2,0.18,1,0.8397744979434871,0.9114270289549615,0.1387294693844252,0.429797189729209,0.5488759566251639,PARTIAL_ALIGNMENT
0.02,0.2,0.18,0,0.9790935560306403,0.9369592667885502,0.156263837602726,0.35632238116267617,0.6603797901263608,PARTIAL_ALIGNMENT
0.02,0.2,0.18,1,1.04717875472834,1.0500415006739994,0.04422375770152972,0.26311575352961986,0.8406880524780742,PARTIAL_ALIGNMENT
